;	V3 text file written for MicroBrightField products.
(ImageCoords)

("NewContour"
  (Color Magenta)
  (Closed)
  (GUID "A519F5BFD68F42F79EE5EF853E2A7CCC")
  (FillDensity 0)
  (MBFObjectType 5)
  (Resolution 1.846036)
  ( 1257.77 -2324.11  -906.99     2.80)  ;  1, 1
  ( 1218.11 -2334.13  -888.25     2.80)  ;  1, 2
  ( 1169.49 -2330.69  -862.94     2.80)  ;  1, 3
  ( 1093.21 -2333.62  -824.46     2.80)  ;  1, 4
  ( 1020.24 -2327.18  -786.28     2.80)  ;  1, 5
  (  971.44 -2318.57  -760.09     2.80)  ;  1, 6
  (  901.07 -2317.08  -723.97     2.80)  ;  1, 7
  (  779.47 -2307.20  -660.46     2.80)  ;  1, 8
  (  694.33 -2299.25  -615.84     2.80)  ;  1, 9
  (  592.01 -2285.07  -561.41     2.80)  ;  1, 10
  (  514.82 -2262.13  -518.60     2.80)  ;  1, 11
  (  463.42 -2248.58  -490.35     2.80)  ;  1, 12
  (  378.51 -2213.38  -441.78     2.80)  ;  1, 13
  (  323.43 -2198.85  -411.51     2.80)  ;  1, 14
  (  244.80 -2169.56  -367.01     2.80)  ;  1, 15
  (  196.52 -2141.46  -338.19     2.80)  ;  1, 16
  (  127.56 -2111.31  -298.49     2.80)  ;  1, 17
  (   63.09 -2105.40  -264.73     2.80)  ;  1, 18
  (   17.77 -2092.60  -239.69     2.80)  ;  1, 19
  (  -39.17 -2093.79  -210.83     2.80)  ;  1, 20
  (  -77.41 -2075.17  -188.53     2.80)  ;  1, 21
  ( -134.53 -2071.20  -158.80     2.80)  ;  1, 22
  ( -224.79 -2055.92  -110.46     2.80)  ;  1, 23
  ( -305.20 -2044.95   -67.80     2.80)  ;  1, 24
  ( -392.35 -2015.14   -18.89     2.80)  ;  1, 25
  ( -488.17 -1979.62    35.30     2.80)  ;  1, 26
  ( -546.21 -1949.79    69.38     2.80)  ;  1, 27
  ( -602.20 -1909.40   103.97     2.80)  ;  1, 28
  ( -640.72 -1883.02   127.57     2.80)  ;  1, 29
  ( -687.38 -1866.45   153.85     2.80)  ;  1, 30
  ( -756.72 -1825.96   195.27     2.80)  ;  1, 31
  ( -785.75 -1793.55   214.94     2.80)  ;  1, 32
  ( -832.31 -1779.56   240.79     2.80)  ;  1, 33
  ( -886.05 -1768.80   269.80     2.80)  ;  1, 34
  ( -938.09 -1737.13   301.09     2.80)  ;  1, 35
  (-1015.63 -1703.88   345.71     2.80)  ;  1, 36
  (-1071.25 -1673.84   378.59     2.80)  ;  1, 37
  (-1133.50 -1628.84   417.17     2.80)  ;  1, 38
  (-1225.68 -1559.27   474.60     2.80)  ;  1, 39
  (-1298.35 -1493.15   521.56     2.80)  ;  1, 40
  (-1376.98 -1428.87   571.39     2.80)  ;  1, 41
  (-1433.34 -1378.15   607.72     2.80)  ;  1, 42
  (-1475.21 -1326.13   636.86     2.80)  ;  1, 43
  (-1507.72 -1297.92   657.66     2.80)  ;  1, 44
  (-1559.31 -1279.19   686.79     2.80)  ;  1, 45
  (-1622.73 -1234.27   725.85     2.80)  ;  1, 46
  (-1654.98 -1213.83   745.36     2.80)  ;  1, 47
  (-1690.53 -1202.73   765.16     2.80)  ;  1, 48
  (-1746.98 -1149.43   801.92     2.80)  ;  1, 49
  (-1815.97 -1084.27   846.86     2.80)  ;  1, 50
  (-1873.04 -1047.88   881.43     2.80)  ;  1, 51
  (-1926.16 -1020.21   912.66     2.80)  ;  1, 52
  (-1977.04  -987.15   943.56     2.80)  ;  1, 53
  (-2031.32  -954.19   976.29     2.80)  ;  1, 54
  (-2077.09  -928.46  1003.49     2.80)  ;  1, 55
  (-2107.56  -889.69  1024.82     2.80)  ;  1, 56
  (-2175.00  -868.48  1062.40     2.80)  ;  1, 57
  (-2279.89  -816.90  1123.63     2.80)  ;  1, 58
  (-2354.15  -774.27  1167.88     2.80)  ;  1, 59
  (-2462.51  -726.89  1230.25     2.80)  ;  1, 60
  (-2551.12  -655.72  1286.09     2.80)  ;  1, 61
  (-2629.87  -588.85  1336.26     2.80)  ;  1, 62
  (-2706.94  -501.07  1388.71     2.80)  ;  1, 63
  (-2770.67  -413.40  1434.34     2.80)  ;  1, 64
  (-2809.78  -336.50  1465.79     2.80)  ;  1, 65
  (-2844.92  -268.32  1493.91     2.80)  ;  1, 66
  (-2894.05  -150.63  1536.66     2.80)  ;  1, 67
  (-2929.90   -96.78  1563.01     2.80)  ;  1, 68
  (-2981.97   -30.11  1599.54     2.80)  ;  1, 69
  (-3041.14    65.74  1644.06     2.80)  ;  1, 70
  (-3084.89   137.04  1677.05     2.80)  ;  1, 71
  (-3112.79   205.87  1701.57     2.80)  ;  1, 72
  (-3151.37   302.27  1735.68     2.80)  ;  1, 73
  (-3205.38   423.23  1781.31     2.80)  ;  1, 74
  (-3250.14   522.96  1819.06     2.80)  ;  1, 75
  (-3308.05   720.07  1878.09     2.80)  ;  1, 76
  (-3326.74   802.69  1899.97     2.80)  ;  1, 77
  (-3351.61   888.64  1925.53     2.80)  ;  1, 78
  (-3389.95  1083.79  1974.38     2.80)  ;  1, 79
  (-3401.91  1250.01  2005.32     2.80)  ;  1, 80
  (-3415.92  1405.66  2035.76     2.80)  ;  1, 81
  (-3434.57  1555.70  2067.71     2.80)  ;  1, 82
  (-3446.85  1662.24  2089.91     2.80)  ;  1, 83
  (-3460.84  1817.90  2120.32     2.80)  ;  1, 84
  (-3505.89  1925.37  2159.39     2.80)  ;  1, 85
  (-3580.47  2045.79  2215.44     2.80)  ;  1, 86
  (-3631.41  2148.87  2256.84     2.80)  ;  1, 87
  (-3691.86  2260.43  2304.36     2.80)  ;  1, 88
  (-3760.13  2407.34  2361.16     2.80)  ;  1, 89
  (-3803.20  2527.97  2401.17     2.80)  ;  1, 90
  (-3847.35  2644.63  2441.15     2.80)  ;  1, 91
  (-3850.50  2767.53  2461.14     2.80)  ;  1, 92
  (-3851.90  2943.76  2488.20     2.80)  ;  1, 93
  (-3863.13  3089.29  2515.70     2.80)  ;  1, 94
  (-3858.16  3257.01  2538.25     2.80)  ;  1, 95
  (-3866.30  3349.64  2556.25     2.80)  ;  1, 96
  (-3871.38  3424.39  2570.02     2.80)  ;  1, 97
  (-3873.15  3579.59  2594.14     2.80)  ;  1, 98
  (-3874.67  3690.97  2611.57     2.80)  ;  1, 99
  (-3889.45  3799.88  2635.40     2.80)  ;  1, 100
  (-3876.60  3950.14  2651.33     2.80)  ;  1, 101
  (-3885.77  4003.79  2664.02     2.80)  ;  1, 102
  (-3865.24  4074.36  2664.10     2.80)  ;  1, 103
  (-3852.11  4216.87  2678.73     2.80)  ;  1, 104
  (-3832.16  4337.95  2686.65     2.80)  ;  1, 105
  (-3815.30  4409.47  2688.75     2.80)  ;  1, 106
  (-3786.05  4626.13  2706.34     2.80)  ;  1, 107
  (-3754.56  4763.80  2710.86     2.80)  ;  1, 108
  (-3727.63  4893.28  2716.50     2.80)  ;  1, 109
  (-3698.34  4990.56  2716.10     2.80)  ;  1, 110
  (-3682.65  5060.70  2718.59     2.80)  ;  1, 111
  (-3653.28  5155.38  2717.76     2.80)  ;  1, 112
  (-3621.76  5258.05  2717.04     2.80)  ;  1, 113
  (-3549.09  5395.31  2700.50     2.80)  ;  1, 114
  (-3507.97  5466.42  2690.16     2.80)  ;  1, 115
  (-3459.59  5538.17  2676.21     2.80)  ;  1, 116
  (-3394.85  5626.95  2656.46     2.80)  ;  1, 117
  (-3331.17  5711.74  2636.66     2.80)  ;  1, 118
  (-3274.29  5782.95  2618.30     2.80)  ;  1, 119
  (-3227.78  5838.97  2602.95     2.80)  ;  1, 120
  (-3177.14  5881.11  2583.41     2.80)  ;  1, 121
  (-3088.38  5941.20  2547.13     2.80)  ;  1, 122
  (-3028.07  5984.19  2522.79     2.80)  ;  1, 123
  (-2944.84  6030.53  2487.26     2.80)  ;  1, 124
  (-2873.52  6070.62  2456.88     2.80)  ;  1, 125
  (-2771.85  6109.53  2410.82     2.80)  ;  1, 126
  (-2671.34  6147.04  2365.16     2.80)  ;  1, 127
  (-2565.71  6177.23  2315.80     2.80)  ;  1, 128
  (-2483.99  6197.50  2277.14     2.80)  ;  1, 129
  (-2419.01  6211.09  2246.01     2.80)  ;  1, 130
  (-2341.64  6227.34  2209.07     2.80)  ;  1, 131
  (-2215.95  6238.57  2146.64     2.80)  ;  1, 132
  (-2098.58  6245.16  2087.75     2.80)  ;  1, 133
  (-2012.82  6254.13  2045.34     2.80)  ;  1, 134
  (-1929.20  6255.11  2002.84     2.80)  ;  1, 135
  (-1842.98  6251.15  1958.25     2.80)  ;  1, 136
  (-1741.89  6238.15  1904.74     2.80)  ;  1, 137
  (-1670.17  6232.88  1867.36     2.80)  ;  1, 138
  (-1544.16  6201.34  1798.38     2.80)  ;  1, 139
  (-1433.74  6164.54  1736.54     2.80)  ;  1, 140
  (-1365.61  6157.65  1700.75     2.80)  ;  1, 141
  (-1275.25  6139.80  1651.99     2.80)  ;  1, 142
  (-1192.25  6127.79  1607.85     2.80)  ;  1, 143
  (-1104.22  6107.12  1559.85     2.80)  ;  1, 144
  (-1035.98  6097.66  1523.63     2.80)  ;  1, 145
  ( -920.82  6063.87  1459.82     2.80)  ;  1, 146
  ( -844.42  6029.20  1415.66     2.80)  ;  1, 147
  ( -765.61  5994.74  1370.31     2.80)  ;  1, 148
  ( -699.06  5964.38  1331.81     2.80)  ;  1, 149
  ( -637.00  5958.26  1299.25     2.80)  ;  1, 150
  ( -569.18  5994.15  1270.01     2.80)  ;  1, 151
  ( -494.97  6021.53  1236.25     2.80)  ;  1, 152
  ( -455.05  6023.79  1216.22     2.80)  ;  1, 153
  ( -423.50  5989.01  1194.94     2.80)  ;  1, 154
  ( -389.36  5949.27  1171.57     2.80)  ;  1, 155
  ( -379.75  5917.72  1161.95     2.80)  ;  1, 156
  ( -395.30  5877.42  1163.85     2.80)  ;  1, 157
  ( -413.80  5852.42  1169.55     2.80)  ;  1, 158
  ( -454.44  5835.83  1187.80     2.80)  ;  1, 159
  ( -460.86  5811.91  1187.50     2.80)  ;  1, 160
  ( -424.55  5780.13  1164.34     2.80)  ;  1, 161
  ( -412.10  5770.88  1156.60     2.80)  ;  1, 162
  ( -400.68  5825.06  1158.88     2.80)  ;  1, 163
  ( -391.60  5876.44  1161.92     2.80)  ;  1, 164
  ( -366.50  5955.20  1160.90     2.80)  ;  1, 165
  ( -354.40  6058.71  1170.21     2.80)  ;  1, 166
  ( -349.29  6153.83  1181.84     2.80)  ;  1, 167
  ( -337.55  6232.68  1187.64     2.80)  ;  1, 168
  ( -330.51  6273.51  1190.15     2.80)  ;  1, 169
  ( -306.24  6366.65  1191.70     2.80)  ;  1, 170
  ( -298.74  6394.54  1192.05     2.80)  ;  1, 171
  ( -277.80  6419.76  1185.14     2.80)  ;  1, 172
  ( -291.55  6465.21  1198.95     2.80)  ;  1, 173
  ( -279.31  6496.13  1197.32     2.80)  ;  1, 174
  ( -268.25  6560.65  1201.34     2.80)  ;  1, 175
  ( -258.90  6604.27  1203.09     2.80)  ;  1, 176
  ( -240.29  6626.69  1196.95     2.80)  ;  1, 177
  ( -219.18  6646.74  1189.18     2.80)  ;  1, 178
  ( -203.42  6646.84  1181.16     2.80)  ;  1, 179
